GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g4446,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,183.85725911740238
g4447,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,184.22484737838195
g4448,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,184.67066251758342
g4449,3,0.0,0,1,0,0,0,0.0,0.0,0.0,102.34340464240807,0.0,102.34340464240807,185.19396184789596
g4450,3,0.0,0,1,0,0,0,0.0,0.0,0.0,102.21110706132677,6.084133044712516,102.21110706132677,185.79388553929576
g4451,3,0.0,0,1,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,186.4694634324409
g4452,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,187.21962252012477
g4453,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,188.04319496887675
g4454,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,188.93892655009128
g4455,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,189.90548535067293
g4456,0,0.0,0,0,0,0,0,0.0,0.0,0.0,68.13679296086191,3.694746873897635,68.13679296086191,190.94147063700623
g4457,0,0.0,0,0,0,0,0,0.0,0.0,9.048657637450161e-05,51.89865783267945,0.0,51.89865783267945,194.91245667284971
g4458,0,0.0,0,0,0,0,0,0.0,0.0,0.00010879733080290161,51.89865783267945,0.0,51.89865783267945,193.84785737830248
g4459,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,192.85045050747198
g4460,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,191.9215982271726
g4461,1,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,191.06260237144534
g4462,3,0.0,0,1,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,190.27469635162137
g4463,3,0.0,0,1,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,189.559037150964
g4464,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,188.91669751084234
g4465,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,188.3486584198662
g4466,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,187.8558020193952
g4467,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,187.43890503803044
g4468,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,187.0986328639045
g4469,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.8355343567186
g4470,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.6500374915706
g4471,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.54244591385645
g4472,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.51293646921457
g4473,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.5615577550605
g4474,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.68822972127063
g4475,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,186.8927443276464
g4476,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,187.17476724560177
g4477,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,187.53384057175805
g4478,3,0.0,0,1,0,0,0,0.0,0.0,0.0,102.34340464240807,0.0,102.34340464240807,187.9693865024689
g4479,3,0.0,0,1,0,0,0,0.0,0.0,0.0,102.34340464240807,0.0,102.34340464240807,188.48071190134624
g4480,3,0.0,0,1,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,189.06701367713316
g4481,3,0.0,0,1,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,189.7273848771828
g4482,2,0.0,0,0,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,190.46082139263086
g4483,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,191.26622916523525
g4484,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,192.1424317828069
g4485,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,193.08817835005732
g4486,0,0.0,0,0,0,0,0,0.0,0.0,0.0,68.13679296086191,3.694746873897635,68.13679296086191,194.10215152430965
g4487,0,0.0,0,0,0,0,0,0.0,0.0,0.0014967384728576233,51.89865783267945,0.0,51.89865783267945,197.0211449348983
g4488,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,196.04460030363765
g4489,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,195.1354218945634
g4490,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,194.29483489160495
g4491,2,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,193.52399860649865
g4492,3,0.0,0,1,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,192.82399921705488
g4493,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,192.19584270039886
g4494,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,191.64044805879794
g4495,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,191.15864093686142
g4496,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,190.75114772771167
g4497,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,190.41859026203227
g4498,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,190.1614811676463
g4499,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,189.98021997851703
g4500,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,189.87509006094925
g4501,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,189.8462564115687
g4502,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,189.8937643667334
g4503,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,190.01753924683123
g4504,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,190.21738694195565
g4505,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,190.49299542827688
g4506,3,0.0,0,1,0,0,0,0.0,0.0,0.0,102.34340464240807,0.0,102.34340464240807,190.84393718759975
g4507,3,0.0,0,1,0,0,0,0.0,0.0,0.0,102.34340464240807,0.0,102.34340464240807,191.26967248666762
g4508,2,0.0,0,0,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,191.76955345823023
g4509,2,0.0,0,0,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,192.34282891317378
g4510,2,0.0,0,0,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,192.98864980245233
g4511,0,0.0,0,0,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,193.7060752394026
g4512,0,0.0,0,0,0,0,0,0.0,0.0,0.0,103.74737054767853,14.407504141150618,103.74737054767853,194.49407898739585
g4513,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,195.3515563147116
g4514,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,196.27733111792244
g4515,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.59323507938633,12.253368672858423,101.59323507938633,197.27016321679932
g4516,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,200.20111317158248
g4517,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,199.2446145405227
g4518,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,198.35432540911557
g4519,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,197.53139999690165
g4520,1,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,196.7769291599005
g4521,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,196.0919337940364
g4522,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,195.4773584336633
g4523,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,194.93406513083715
g4524,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,194.4628277015557
g4525,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,194.06432642375736
